UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,regionalLymphNodesFinding,Classification of primary tumor based on AJCC Staging guidelines,Lymph,Lymph,Property,C13252,"A clear, transparent, sometimes faintly yellow and slightly opalescent fluid that is collected from the tissues throughout the body, flows in the lymphatic vessels (through the lymph nodes), and is eventually added to the venous blood circulation. Lymph consists of a clear liquid portion, varying numbers of white blood cells (chiefly lymphocytes), and a few red blood cells.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,regionalLymphNodesFinding,Classification of primary tumor based on AJCC Staging guidelines,Local-Regional,Local,Property,C25388,Affecting only a restricted part or area (of the body).,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,regionalLymphNodesFinding,Classification of primary tumor based on AJCC Staging guidelines,Finding,Finding,Property,C3367,Objective evidence of disease perceptible to the examining physician (sign) and subjective evidence of disease perceived by the patient (symptom).,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,distantMetastasisFinding,Classification of distant metastases based on AJCC Staging guidelines.,Distant,Distant,Property,C25321,"Far apart in space, time, or relevance.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,distantMetastasisFinding,Classification of distant metastases based on AJCC Staging guidelines.,Metastasis,Metastasis,Property,C19151,"Metastasis is the spread or migration of cancer cells from one part of the body (the organ in which it first appeared) to another. The secondary tumor contains cells that are like those in the original (primary) tumor. For example, breast cancer cells may spread (metastasize) to the lungs and cause the growth of a new tumor. When this happens, the disease is called metastatic breast cancer. (NCI)",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,distantMetastasisFinding,Classification of distant metastases based on AJCC Staging guidelines.,Finding,Finding,Property,C3367,Objective evidence of disease perceptible to the examining physician (sign) and subjective evidence of disease perceived by the patient (symptom).,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationSet,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationSet,The collection of all the data in the annotation,Annotation,Annotation,ObjectClass,C44272,An explanatory or critical comment that has been added to a text.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationSet,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationSet,The collection of all the data in the annotation,Set,Set,ObjectClass,C47894,A group of things of the same kind that belong together and are so used.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationSet,id,System-generated internal identifier,Idaho,Idaho,Property,C43499,A state in the northern Rocky Mountains of western United States. Its capital is Boise.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationSet,id,System-generated internal identifier,Indonesia,Indonesia,Property,C16728,"A country in Southeastern Asia, comprising the archipelago between the Indian Ocean and the Pacific Ocean.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationSet,id,System-generated internal identifier,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AdditionalFindings,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AdditionalFindings,Significant pathologic findings that are present in addition to the tumor.,Additional,Additional,ObjectClass,C25406,Added; extra; further.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AdditionalFindings,otherFindings,User-entered text describing additional finding or findings not elsewhere described in synoptic report,Other_Routes_of_Drug_Administration,Other Route of Administration,Property,C38290,Route of drug administration not specified on this list.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AdditionalFindings,otherFindings,User-entered text describing additional finding or findings not elsewhere described in synoptic report,Other_Health_Care_Professional,Other Health Care Professional,Property,C53289,Health care professional other than listed in section D5 of FDA MedWatch form 3500A.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AdditionalFindings,otherFindings,User-entered text describing additional finding or findings not elsewhere described in synoptic report,Other,Other,Property,C17649,Different than the one(s) previously specified or mentioned.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AdditionalFindings,MVR,Reason no additional findings are specified,Missing_Value_Reason,Missing Value Reason,Property,C48655,"A specific reason explaining why a meaningful value is not available.  A meaningful value answers the question posed by a Data Element Concept.  In contrast, a Missing Value Reason answers the implicit question ""Why is there no 'meaningful' value?"", when there is none.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.Neoplasm,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.Neoplasm,A neoplastic growth.,Neoplasm,Neoplasm,ObjectClass,C3262,"An abnormal tissue growth resulted from uncontrolled cell proliferation.  Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant ones exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia.  Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias. -- 2004",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotatableEntity,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotatableEntity,"Any items that can be annotated by CAE, i.e. Accession, Specimen",Entity,Entity,ObjectClass,C51070,An independently existing thing (living or nonliving).,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotatableEntity,id,System generated internal identifier,Idaho,Idaho,Property,C43499,A state in the northern Rocky Mountains of western United States. Its capital is Boise.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotatableEntity,id,System generated internal identifier,Indonesia,Indonesia,Property,C16728,"A country in Southeastern Asia, comprising the archipelago between the Indian Ocean and the Pacific Ocean.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotatableEntity,id,System generated internal identifier,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.EventParameters,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.EventParameters,The parameters for an event,Event,Event,ObjectClass,C25499,Something that happens at a given place and time.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.EventParameters,id,System generated internal identifier.,Idaho,Idaho,Property,C43499,A state in the northern Rocky Mountains of western United States. Its capital is Boise.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.EventParameters,id,System generated internal identifier.,Indonesia,Indonesia,Property,C16728,"A country in Southeastern Asia, comprising the archipelago between the Indian Ocean and the Pacific Ocean.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.EventParameters,id,System generated internal identifier.,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.EventParameters,timeStamp,System-generated internal identifier,Time,Time,Property,C25207,The continuum of experience in which events pass from the future through the present to the past; a specific point in this continuum or the interval separating two points.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.EventParameters,timeStamp,System-generated internal identifier,Timestamp_Value,Timestamp,Property,C54086,"A variation of the Date datatype that's useful for storing very precise datetime values, down to small fractions of seconds. The Timestamp datatype stores all the information that the Date datatype stores, but also includes fractional seconds.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.EventParameters,timeStamp,System-generated internal identifier,STAMP,STAMP,Property,C29438,,,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.Specimen,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.Specimen,A piece of tissue  from surgery for banking. It can be a part or block.,Specimen,Specimen,ObjectClass,C19157,"A part of a thing, or of several things, taken to demonstrate or to determine the character of the whole, e.g. a substance, or portion of material obtained for use in testing, examination, or study; particularly, a preparation of tissue or bodily fluid taken for examination or diagnosis.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.BasicHistologicGrade,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.BasicHistologicGrade,Generic classification of degree of abnormality of a neoplasm,Grade,Grade,ObjectClass,C48309,A position on a scale of intensity or amount or quality.,NCI,,0
